Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
310, 600, 0.05, 3e-05, 0.03, 15.034839664180975, 2.603007237416427
311, 600, 0.05, 3e-05, 0.01, 10.798444624514653, 2.504092939933693
312, 600, 0.05, 1e-05, 0.8, 476624.8539349482, 692.8778266456932
313, 600, 0.05, 1e-05, 0.5, 46835.73705362971, 14.259701666148763
314, 600, 0.05, 1e-05, 0.3, 15.941304073799131, 2.303762003318652
315, 600, 0.05, 1e-05, 0.1, 9.903441890037328, 2.3690621761613206
316, 600, 0.05, 1e-05, 0.08, 11.920229911121572, 2.4271429916277527
317, 600, 0.05, 1e-05, 0.05, 9.65562523183318, 2.2814462812051595
318, 600, 0.05, 1e-05, 0.03, 10.364837002306514, 2.3809683398007335
319, 600, 0.05, 1e-05, 0.01, 13.069790912197186, 2.614438943434398
320, 600, 0.03, 8e-05, 0.8, 463333.0007531117, 483.1434640227184
321, 600, 0.03, 8e-05, 0.5, 22.10439840048665, 2.416069149781494
322, 600, 0.03, 8e-05, 0.3, 6.135689880286372, 2.018256457504657
323, 600, 0.03, 8e-05, 0.1, 5.940464419603756, 2.1487119714161045
324, 600, 0.03, 8e-05, 0.08, 5.755710437916269, 2.1052621507921083
325, 600, 0.03, 8e-05, 0.05, 5.754947356673677, 2.115669465031656
326, 600, 0.03, 8e-05, 0.03, 5.95661221873299, 2.14558452614599
327, 600, 0.03, 8e-05, 0.01, 6.0694561580879824, 2.139328025412157
328, 600, 0.03, 5e-05, 0.8, 432738.4919507733, 495.4704981262339
329, 600, 0.03, 5e-05, 0.5, 19.526518085638216, 2.3778848706188476
330, 600, 0.03, 5e-05, 0.3, 7.375622864153172, 2.0652982516165213
331, 600, 0.03, 5e-05, 0.1, 5.844525650426881, 2.0784218227653497
332, 600, 0.03, 5e-05, 0.08, 5.799397188663571, 2.070783484030691
333, 600, 0.03, 5e-05, 0.05, 5.644870769748638, 2.1316526309962436
334, 600, 0.03, 5e-05, 0.03, 5.77278853412924, 2.1008115162324326
335, 600, 0.03, 5e-05, 0.01, 5.66448765124395, 2.1700255687667225
336, 600, 0.03, 3e-05, 0.8, 472573.8468228981, 437.04188860799815
337, 600, 0.03, 3e-05, 0.5, 19.615099825372983, 2.4318499152753223
338, 600, 0.03, 3e-05, 0.3, 6.394037015846331, 2.064109829721657
339, 600, 0.03, 3e-05, 0.1, 5.816384423337298, 2.0455055996188003
340, 600, 0.03, 3e-05, 0.08, 5.673315690689661, 2.1266210415839524
341, 600, 0.03, 3e-05, 0.05, 5.984912632889856, 2.073844950063503
342, 600, 0.03, 3e-05, 0.03, 5.745169473038503, 2.121460120882316
343, 600, 0.03, 3e-05, 0.01, 6.304832318947358, 2.1152430668131545
344, 600, 0.03, 1e-05, 0.8, 483521.9597363907, 415.36342718587946
345, 600, 0.03, 1e-05, 0.5, 24.742670532704846, 2.411197637289463
346, 600, 0.03, 1e-05, 0.3, 6.721281668957241, 2.0365023073545903
347, 600, 0.03, 1e-05, 0.1, 5.8957576377361205, 2.063373888575695
