Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
249, 300, 0.001, 1e-05, 0.5, 51.40478366649114, 5.728051337235756
250, 300, 0.001, 1e-05, 0.3, 42.90438097187708, 5.315775759501781
251, 300, 0.001, 1e-05, 0.1, 40.31523717286685, 5.095587685596205
252, 300, 0.001, 1e-05, 0.08, 40.20943193490724, 5.120903988079928
253, 300, 0.001, 1e-05, 0.05, 40.05918668175808, 5.123561390501445
254, 300, 0.001, 1e-05, 0.03, 33.70690212364791, 4.774504003623749
255, 300, 0.001, 1e-05, 0.01, 39.57619791751116, 5.158215302129917
256, 600, 0.08, 8e-05, 0.8, 505943.99437823193, 520.3882638691382
257, 600, 0.08, 8e-05, 0.5, 438236.27318637155, 180.9241987475529
258, 600, 0.08, 8e-05, 0.3, 18.063038464867894, 2.2745596809261786
259, 600, 0.08, 8e-05, 0.1, 26.613482207346173, 3.7484550537225574
260, 600, 0.08, 8e-05, 0.08, 20.691459219300775, 3.2146141349075874
261, 600, 0.08, 8e-05, 0.05, 32.554037488631096, 4.385895716352222
262, 600, 0.08, 8e-05, 0.03, 25.931940810243248, 3.8468190297406344
263, 600, 0.08, 8e-05, 0.01, 33.96293468619085, 4.552050727577847
264, 600, 0.08, 5e-05, 0.8, 505943.99437823193, 539.0493452527526
265, 600, 0.08, 5e-05, 0.5, 438236.27318637155, 178.54504754634522
266, 600, 0.08, 5e-05, 0.3, 12.35549450586257, 2.277442012024229
267, 600, 0.08, 5e-05, 0.1, 29.846688641936062, 3.7812972879358595
268, 600, 0.08, 5e-05, 0.08, 21.46574517042574, 3.381402476119253
269, 600, 0.08, 5e-05, 0.05, 33.55311598492837, 4.310422210138539
270, 600, 0.08, 5e-05, 0.03, 27.455967333300997, 3.980549049497898
271, 600, 0.08, 5e-05, 0.01, 24.3208315284156, 3.6780181376722454
272, 600, 0.08, 3e-05, 0.8, 505943.99437823193, 598.7328256041666
273, 600, 0.08, 3e-05, 0.5, 438236.27318637155, 182.83540129575053
274, 600, 0.08, 3e-05, 0.3, 11.301371749157813, 2.301085847619693
275, 600, 0.08, 3e-05, 0.1, 28.802374996969252, 3.9858468709755988
276, 600, 0.08, 3e-05, 0.08, 20.70495659428069, 3.317893815577542
277, 600, 0.08, 3e-05, 0.05, 39.93084153998238, 5.01445116385976
278, 600, 0.08, 3e-05, 0.03, 26.31578091123988, 3.727336096878337
279, 600, 0.08, 3e-05, 0.01, 33.71218045316099, 4.5416410462467365
280, 600, 0.08, 1e-05, 0.8, 505943.99437823193, 606.9798760282804
281, 600, 0.08, 1e-05, 0.5, 438236.27318637155, 183.11624033956397
282, 600, 0.08, 1e-05, 0.3, 17.686554758234006, 2.3231075390954805
283, 600, 0.08, 1e-05, 0.1, 34.055432333749614, 4.393990158714853
284, 600, 0.08, 1e-05, 0.08, 16.277167987304484, 2.9284454943139693
285, 600, 0.08, 1e-05, 0.05, 35.444413427375395, 4.161405875988241
286, 600, 0.08, 1e-05, 0.03, 41.095081610377825, 5.331888732461034
287, 600, 0.08, 1e-05, 0.01, 34.56933048697204, 4.516500913372617
288, 600, 0.05, 8e-05, 0.8, 398148.9594708632, 661.4878941223685
289, 600, 0.05, 8e-05, 0.5, 23.908035378734176, 2.367965956821192
290, 600, 0.05, 8e-05, 0.3, 7.513372180424575, 2.0341377724040224
291, 600, 0.05, 8e-05, 0.1, 7.505059383965261, 2.1153034366920336
292, 600, 0.05, 8e-05, 0.08, 6.379250674896557, 2.0688711795713646
293, 600, 0.05, 8e-05, 0.05, 6.340336885688757, 2.092253272171895
294, 600, 0.05, 8e-05, 0.03, 6.536023724852379, 2.0829328238081875
295, 600, 0.05, 8e-05, 0.01, 6.565981218911669, 2.1231935972752263
296, 600, 0.05, 5e-05, 0.8, 349011.191414289, 661.4878941223685
297, 600, 0.05, 5e-05, 0.5, 43856.013417647395, 9.313236852567131
298, 600, 0.05, 5e-05, 0.3, 6.852612416915998, 1.973179567384183
299, 600, 0.05, 5e-05, 0.1, 5.62396928112639, 2.0304040846686293
300, 600, 0.05, 5e-05, 0.08, 5.745618532265669, 2.038295565426767
301, 600, 0.05, 5e-05, 0.05, 6.285497704429811, 2.060846029883427
302, 600, 0.05, 5e-05, 0.03, 6.135605683978111, 2.073151785946598
303, 600, 0.05, 5e-05, 0.01, 6.08434145706948, 2.0357893489270507
304, 600, 0.05, 3e-05, 0.8, 348633.8428559476, 661.4878941223685
305, 600, 0.05, 3e-05, 0.5, 39.411124088912764, 2.528249990412931
306, 600, 0.05, 3e-05, 0.3, 8.794546023921203, 1.9610034679440425
307, 600, 0.05, 3e-05, 0.1, 5.62757371688732, 2.029456675267577
308, 600, 0.05, 3e-05, 0.08, 6.362691741745321, 2.099230035569086
309, 600, 0.05, 3e-05, 0.05, 6.680569110084076, 2.0690379546726487
310, 600, 0.05, 3e-05, 0.03, 6.171261451828576, 2.062821972626566
311, 600, 0.05, 3e-05, 0.01, 6.777264369888802, 2.146237792842138
312, 600, 0.05, 1e-05, 0.8, 348701.94224379456, 661.4878941223685
313, 600, 0.05, 1e-05, 0.5, 39.421703542114244, 2.5409716687311437
314, 600, 0.05, 1e-05, 0.3, 5.877172945243636, 1.9756004003077046
315, 600, 0.05, 1e-05, 0.1, 6.278990663409974, 2.0483497519585265
316, 600, 0.05, 1e-05, 0.08, 5.857528360822126, 2.001274450365472
317, 600, 0.05, 1e-05, 0.05, 6.552556868171166, 2.110623192036342
318, 600, 0.05, 1e-05, 0.03, 5.923225539547419, 2.0833722793482696
319, 600, 0.05, 1e-05, 0.01, 6.38145884854674, 2.0652532208082652
320, 600, 0.03, 8e-05, 0.8, 438236.27318637155, 472.7238885339748
321, 600, 0.03, 8e-05, 0.5, 8.394950215911045, 1.9873432088133298
322, 600, 0.03, 8e-05, 0.3, 5.783780796622919, 1.9700158094244433
323, 600, 0.03, 8e-05, 0.1, 4.985416786428047, 2.0406498033590394
324, 600, 0.03, 8e-05, 0.08, 5.058138113910785, 2.072820098155059
325, 600, 0.03, 8e-05, 0.05, 4.995456314877247, 2.073420308560531
326, 600, 0.03, 8e-05, 0.03, 5.1469551691294315, 2.084314198771808
327, 600, 0.03, 8e-05, 0.01, 4.948066522661208, 2.09711635441847
328, 600, 0.03, 5e-05, 0.8, 438236.27318637155, 434.88094350878663
329, 600, 0.03, 5e-05, 0.5, 7.233510915008746, 2.0200954373548896
330, 600, 0.03, 5e-05, 0.3, 6.152843316842697, 2.0038777897646445
331, 600, 0.03, 5e-05, 0.1, 5.062482099089727, 2.0545297130881943
332, 600, 0.03, 5e-05, 0.08, 5.012083400905274, 2.0278763798706767
333, 600, 0.03, 5e-05, 0.05, 4.875567747371609, 2.102938145567225
334, 600, 0.03, 5e-05, 0.03, 4.877838488632737, 2.0476522827910904
335, 600, 0.03, 5e-05, 0.01, 5.07963948469826, 2.064691292319377
336, 600, 0.03, 3e-05, 0.8, 417838.7148379701, 420.06261156200054
337, 600, 0.03, 3e-05, 0.5, 6.8592145185814815, 1.9528091315347482
338, 600, 0.03, 3e-05, 0.3, 5.6396826263517745, 2.0233260943227624
339, 600, 0.03, 3e-05, 0.1, 5.128301871532171, 2.073785971236558
340, 600, 0.03, 3e-05, 0.08, 4.856504383916754, 2.106371143080838
341, 600, 0.03, 3e-05, 0.05, 5.251331504954332, 2.0187243438788323
342, 600, 0.03, 3e-05, 0.03, 4.915557874220821, 2.0724086442660097
343, 600, 0.03, 3e-05, 0.01, 5.114432638206962, 2.052676097313554
344, 600, 0.03, 1e-05, 0.8, 417908.8715940976, 455.8073902704592
345, 600, 0.03, 1e-05, 0.5, 7.924606025926669, 1.9918742341390545
346, 600, 0.03, 1e-05, 0.3, 5.4664342289020444, 2.0147432634895552
347, 600, 0.03, 1e-05, 0.1, 5.186348729370005, 2.017782996389994
348, 600, 0.03, 1e-05, 0.08, 4.966245719376726, 2.024188931099412
